n,tn,64.0656*lgn,32.1249*sqrtn,2.71991*n,0.411456*nlgn,0.0362706*n^2,0.000593185*n^3,2.64556E-16*2^n,8.37222E-79*n!,,,,
20,0.344617605,276.8869166,143.6669203,54.3982,35.56566492,14.50824,4.74548,2.77407E-10,2.03688E-60,,,,
21,0.440560341,281.3964511,147.2147859,57.11811,37.95215251,15.9953346,5.493486285,5.54814E-10,4.27745E-59,,,,
22,0.507078409,285.6961623,150.6791372,59.83802,40.36691771,17.5549704,6.31623388,1.10963E-09,9.41038E-58,,,,
23,0.622521162,289.8047109,154.0656081,62.55793,42.80867429,19.1871474,7.217281895,2.21926E-09,2.16439E-56,,,,
24,0.811223269,293.7383736,157.3792261,65.27784,45.27624794,20.8918656,8.20018944,4.43851E-09,5.19453E-55,,,,
25,0.865186214,297.5114331,160.6245,67.99775,47.76856231,22.669125,9.268515625,8.87703E-09,1.29863E-53,,,,
26,1.200351477,301.1364908,163.805492,70.71766,50.28462724,24.5189256,10.42581956,1.77541E-08,3.37644E-52,,,,
27,1.306200981,304.6247208,166.925877,73.43757,52.82352879,26.4412674,11.67566036,3.55081E-08,9.1164E-51,,,,
28,1.774107456,307.9860775,169.9889926,76.15748,55.38442075,28.4361504,13.02159712,7.10162E-08,2.55259E-49,,,,
29,2.054637432,311.2294672,172.9978809,78.87739,57.96651742,30.5035746,14.46718897,1.42032E-07,7.40252E-48,,,,
30,2.334112644,314.3628901,175.9553239,81.5973,60.56908731,32.64354,16.015995,2.84065E-07,2.22076E-46,,,,
31,2.932168722,317.3935591,178.8638734,84.31721,63.19144771,34.8560466,17.67157434,5.6813E-07,6.88434E-45,,,,
32,3.251418352,320.328,181.7258771,87.03712,65.83296,37.1410944,19.43748608,1.13626E-06,2.20299E-43,,,,
33,3.378785849,323.1721359,184.5435006,89.75703,68.49302548,39.4986834,21.31728935,2.27252E-06,7.26986E-42,,,,
34,4.857417583,325.9313594,187.3187465,92.47694,71.17108177,41.9288136,23.31454324,4.54504E-06,2.47175E-40,,,,
35,4.795173883,328.6105941,190.0534714,95.19685,73.86659956,44.431485,25.43280688,9.09007E-06,8.65114E-39,,,,
36,6.298943996,331.2143472,192.7494,97.91676,76.57907981,47.0066976,27.67563936,1.81801E-05,3.11441E-37,,,,
37,7.103428841,333.7467555,195.408138,100.63667,79.30805123,49.6544514,30.04659981,3.63603E-05,1.15233E-35,,,,
38,7.723176718,336.2116249,198.0311834,103.35658,82.05306799,52.3747464,32.54924732,7.27206E-05,4.37886E-34,,,,
39,10.15683842,338.6124644,200.6199362,106.07649,84.81370776,55.1675826,35.18714102,0.000145441,1.70776E-32,,,,
40,11.99208283,340.9525166,203.1757072,108.7964,87.58956985,58.03296,37.96384,0.000290882,6.83102E-31,,,,
41,14.57703471,343.2347837,205.6997258,111.51631,90.38027362,60.9708786,40.88290339,0.000581765,2.80072E-29,,,,
42,14.24925613,345.4620511,208.1931469,114.23622,93.18545702,63.9813384,43.94789028,0.00116353,1.1763E-27,,,,
43,15.63854051,347.6369073,210.6570568,116.95613,96.00477521,67.0643394,47.1623598,0.002327059,5.0581E-26,,,,
44,19.07090068,349.7617623,213.0924795,119.67604,98.83789943,70.2198816,50.52987104,0.004654118,2.22556E-24,,,,
45,21.77789474,351.8388637,215.5003805,122.39595,101.6845158,73.447965,54.05398313,0.009308237,1.0015E-22,,,,
46,26.01882577,353.8703109,217.8816725,125.11586,104.5443246,76.7485896,57.73825516,0.018616473,4.60692E-21,,,,
47,32.00005412,355.8580675,220.2372185,127.83577,107.4170388,80.1217554,61.58624626,0.037232947,2.16525E-19,,,,
48,35.86214566,357.8039736,222.567836,130.55568,110.3023839,83.5674624,65.60151552,0.074465894,1.03932E-17,,,,
49,36.50590873,359.709755,224.8743,133.27559,113.2000966,87.0857106,69.78762207,0.148931788,5.09267E-16,,,,
50,53.18903661,361.5770331,227.1573463,135.9955,116.1099246,90.6765,74.148125,0.297863576,2.54633E-14,,,,
51,51.08500791,363.407333,229.4176741,138.71541,119.0316255,94.3398306,78.68658344,0.595727152,1.29863E-12,,,,
52,61.15087581,365.2020908,231.6559483,141.43532,121.9649665,98.0757024,83.40655648,1.191454303,6.75288E-11,,,,
53,79.61624861,366.9626607,233.8728022,144.15523,124.9097236,101.8841154,88.31160325,2.382908606,3.57903E-09,,,,
54,75.442559,368.6903208,236.0688391,146.87514,127.8656816,105.7650696,93.40528284,4.765817212,1.93267E-07,,,,
55,77.25711083,370.3862789,238.2446348,149.59505,130.8326328,109.718565,98.69115438,9.531634424,1.06297E-05,,,,
56,89.28668451,372.0516775,240.4007388,152.31496,133.8103775,113.7446016,104.172777,19.06326885,0.000595264,,,,
57,101.5724244,373.6875985,242.5376762,155.03487,136.7987228,117.8431794,109.8537097,38.1265377,0.033930029,,,,
58,118.1910927,375.2950672,244.6559494,157.75478,139.7974828,122.0142984,115.7375117,76.25307539,1.967941659,,,,
59,140.0268805,376.8750565,246.756039,160.47469,142.8064779,126.2579586,121.8277421,152.5061508,116.1085579,,,,
MSE,,94782,29723.2,6581.42,3766.82,1301.28,425.758,141.24,1646.23,,,,
