n,tn,46.9693*lgn,20.6208*sqrtn,1.4961*n,0.211087*nlgn,0.0139272*n^2,0.00015241*n^3,1.40885E-25*2^n,3.47841E-135*n!
20,0.181176186,202.9979373,92.2190211,29.922,18.24605672,5.57088,1.21928,1.47729E-19,8.45E-117
21,0.197244883,206.3040747,94.49637689,31.4181,19.47038326,6.1418952,1.41146901,2.95457E-19,1.78E-115
22,0.227557659,209.4563815,96.7201253,32.9142,20.70921693,6.7407648,1.62286168,5.90915E-19,3.90E-114
23,0.27708292,212.4685386,98.89388267,34.4103,21.96189782,7.3674888,1.85437247,1.18183E-18,9.01E-113
24,0.311321497,215.3524792,101.0208762,35.9064,23.2278235,8.0220672,2.10691584,2.36366E-18,2.16E-111
25,0.385314465,218.1186745,103.104,37.4025,24.50644178,8.7045,2.38140625,4.72732E-18,5.39E-110
26,0.522198915,220.7763632,105.1458616,38.8986,25.79724469,9.4147872,2.67875816,9.45463E-18,1.40E-108
27,0.632703543,223.3337375,107.1488199,40.3947,27.09976334,10.1529288,2.99988603,1.89093E-17,3.79E-107
28,0.682402372,225.7980955,109.1150173,41.8908,28.41356359,10.9189248,3.34570432,3.78185E-17,1.06E-105
29,1.190402031,228.1759667,111.0464065,43.3869,29.7382424,11.7127752,3.71712749,7.56371E-17,3.07E-104
30,0.995858908,230.4732165,112.9447731,44.883,31.07342446,12.53448,4.11507,1.51274E-16,9.22E-103
31,1.136591911,232.6951327,114.8117554,46.3791,32.41875953,13.3840392,4.54044631,3.02548E-16,2.86E-101
32,1.279592276,234.8465,116.6488601,47.8752,33.77392,14.2614528,4.99417088,6.05096E-16,9.15E-100
33,2.732695818,236.9316607,118.4574774,49.3713,35.1385987,15.1667208,5.47715817,1.21019E-15,3.02E-98
34,1.997774839,238.9545684,120.2388928,50.8674,36.51250714,16.0998432,5.99032264,2.42039E-15,1.03E-96
35,3.770094156,240.9188328,121.994298,52.3635,37.89537375,17.06082,6.53457875,4.84077E-15,3.58E-95
36,2.658009529,242.8277583,123.7248,53.8596,39.28694253,18.0496512,7.11084096,9.68154E-15,1.29E-93
37,2.804383993,244.684378,125.4314296,55.3557,40.68697165,19.0663368,7.72002373,1.93E-14,4.80E-92
38,3.465905905,246.4914817,127.1151483,56.8518,42.09523245,20.1108768,8.36304152,3.87E-14,1.82E-90
39,4.227072716,248.2516424,128.7768547,58.3479,43.51150822,21.1832712,9.04080879,7.75E-14,7.10E-89
40,4.564095974,249.9672373,130.4173903,59.844,44.93559343,22.28352,9.75424,1.55E-13,2.84E-87
41,5.584631205,251.6404674,132.0375443,61.3401,46.36729278,23.4116232,10.50424961,3.10E-13,1.17E-85
42,5.436053753,253.2733747,133.6380578,62.8362,47.80642054,24.5675808,11.29175208,6.20E-13,4.90E-84
43,6.53949523,254.8678572,135.2196283,64.3323,49.25279979,25.7513928,12.11766187,1.24E-12,2.10E-82
44,8.106526613,256.4256815,136.782913,65.8284,50.70626185,26.9630592,12.98289344,2.48E-12,9.25E-81
45,8.267349958,257.9484956,138.3285316,67.3245,52.16664575,28.20258,13.88836125,4.96E-12,4.17E-79
46,11.90808225,259.4378386,139.8570701,68.8206,53.63379764,29.4699552,14.83497976,9.92E-12,1.91E-77
47,9.980405569,260.8951502,141.3690824,70.3167,55.10757035,30.7651848,15.82366343,1.99E-11,9.01E-76
48,12.76195383,262.3217792,142.8650932,71.8128,56.587823,32.0882688,16.85532672,3.96E-11,4.31E-74
49,13.2671144,263.7189911,144.3456,73.3089,58.07442059,33.4392072,17.93088409,7.93E-11,2.11E-72
50,11.83908939,265.0879745,145.8110751,74.805,59.56723358,34.818,19.05125,1.59E-10,1.06E-70
51,18.03762698,266.4298476,147.2619673,76.3011,61.06613765,36.2246472,20.21733891,3.17E-10,5.39E-69
52,16.0868876,267.7456632,148.6987035,77.7972,62.57101337,37.6591488,21.43006528,6.34E-10,2.81E-67
53,18.12507963,269.0364142,150.12169,79.2933,64.08174589,39.1215048,22.69034357,1.27E-09,1.49E-65
54,22.18073893,270.3030375,151.5313143,80.7894,65.59822466,40.6117152,23.99908824,2.54E-09,8.04E-64
55,21.4758749,271.5464188,152.9279458,82.2855,67.12034327,42.12978,25.35721375,5.07E-09,4.42E-62
56,25.04538012,272.7673955,154.3119373,83.7816,68.64799918,43.6756992,26.76563456,1.02E-08,2.47E-60
57,29.88423109,273.9667609,155.6836259,85.2777,70.1810935,45.2494728,28.22526513,2.03E-08,1.41E-58
58,28.46510339,275.1452667,157.0433341,86.7738,71.71953079,46.8511008,29.73701992,4.06E-08,8.17E-57
59,32.13040614,276.3036262,158.3913702,88.2699,73.26321893,48.4805832,31.30181339,8.11E-08,4.83E-55
60,32.11618233,277.4425165,159.72803,89.766,74.8120689,50.13792,32.92056,1.62E-07,2.89E-53
61,31.89916301,278.5625812,161.0535965,91.2621,76.3659947,51.8231112,34.59417421,3.25E-07,1.77E-51
62,41.21547198,279.6644327,162.3683416,92.7582,77.92491306,53.5361568,36.32357048,6.49E-07,1.10E-49
63,38.83752346,280.7486539,163.6725259,94.2543,79.4887435,55.2770568,38.10966327,1.30E-06,6.89E-48
64,42.40096545,281.8158,164.9664,95.7504,81.057408,57.0458112,39.95336704,2.59E-06,4.42E-46
65,44.48520565,282.8664005,166.2502046,97.2465,82.63083104,58.84242,41.85559625,5.20E-06,2.87E-44
66,52.45658922,283.9009607,167.5241711,98.7426,84.20893942,60.6668832,43.81726536,1.04E-05,1.89E-42
67,58.10673428,284.919963,168.7885224,100.2387,85.79166213,62.5192008,45.83928883,2.09E-05,1.27E-40
68,52.98157525,285.9238684,170.043473,101.7348,87.37893028,64.3993728,47.92258112,4.16E-05,8.63E-39
69,53.4796474,286.9131178,171.2892294,103.2309,88.97067703,66.3073992,50.06805669,8.31E-05,5.95E-37
70,52.46032524,287.8881328,172.5259907,104.727,90.5668375,68.24328,52.27663,1.66E-04,4.17E-35
71,52.25236988,288.8493174,173.7539492,106.2231,92.16734859,70.2070152,54.54921551,3.32E-04,2.96E-33
72,55.56277037,289.7970583,174.9732902,107.7192,93.77214903,72.1986048,56.88672768,6.65E-04,2.13E-31
73,66.3857882,290.7317267,176.1841924,109.2153,95.38117926,74.2180488,59.29008097,1.33E-03,1.55E-29
74,65.29081488,291.653678,177.3868289,110.7114,96.99438132,76.2653472,61.76018984,2.66E-03,1.15E-27
75,65.84823728,292.5632537,178.5813665,112.2075,98.61169882,78.3405,64.29796875,5.33E-03,8.63E-26
76,76.25178289,293.4607817,179.7679667,113.7036,100.2330769,80.4435072,66.90433216,1.07E-02,6.57E-24
77,67.78731608,294.3465771,180.9467856,115.1997,101.8584621,82.5743688,69.58019453,2.13E-02,5.04E-22
78,69.78136921,295.2209424,182.1179745,116.6958,103.4878025,84.7330848,72.32647032,4.25E-02,3.93E-20
79,76.54159427,296.0841691,183.2816794,118.1919,105.1210472,86.9196552,75.14407399,8.51E-02,3.11E-18
80,80.96433163,296.9365373,184.4380422,119.688,106.7581469,89.13408,78.03392,1.70E-01,2.49E-16
81,87.53794289,297.7783167,185.5872,121.1841,108.3990533,91.3763592,80.99692281,3.41E-01,2.02E-14
82,92.25078297,298.6097674,186.7292859,122.6802,110.0437196,93.6464928,84.03399688,6.82E-01,1.65E-12
83,78.86256361,299.4311395,187.8644287,124.1763,111.6920997,95.9444808,87.14605667,1.36E+00,1.37E-10
84,86.03089452,300.2426747,188.9927538,125.6724,113.3441491,98.2703232,90.33401664,2.72E+00,1.15E-08
85,90.43180394,301.0446057,190.1143823,127.1685,114.9998239,100.62402,93.59879125,5.45E+00,9.81E-07
86,88.90864992,301.8371572,191.2294323,128.6646,116.6590816,103.0055712,96.94129496,1.09E+01,8.42E-05
87,82.86155367,302.6205459,192.338018,130.1607,118.3218804,105.4149768,100.3624422,2.18E+01,7.34E-03
88,91.00732493,303.3949815,193.4402506,131.6568,119.9881797,107.8522368,103.8631475,4.35E+01,6.44E-01
89,88.80662084,304.1606662,194.5362381,133.1529,121.6579397,110.3173512,107.4443253,8.72E+01,5.74E+01
MSE,,54321.7,13696.9,2444.83,1263.8,226.597,30.8483,1.78E+03,1.98E+03
